"HumanGene","2021_Nature_Kamber_Ramos_macrophage_posscore","2021_Nature_Kamber_Ramos_macrophage_posrank","2021_Nature_Kamber_Ramos_macrophage_negscore","2021_Nature_Kamber_Ramos_macrophage_negrank"
"OAT",0.10259,5626,0.43436,12916
"OAZ1",0.57048,15192,0.19644,8079
"OAZ2",0.022833,1936,0.89585,18733
"OAZ3",0.032055,2446,0.93413,19074
"OBFC1",0.37105,12292,0.56028,14783
"OBP2A",0.33794,11637,0.22127,8652
"OBP2B",0.35121,11891,0.10231,5239
"OBSCN",0.16853,7833,0.94765,19219
"OBSL1",0.23793,9580,0.15449,6992
"OC90",0.12796,6506,0.29002,10275
"OCA2",0.38751,12614,0.0021841,533
"OCEL1",0.65864,16405,0.47091,13462
"OCIAD1",0.35591,11985,0.95162,19281
"OCIAD2",0.0013439,283,0.069253,4065
"OCLM",0.025435,2088,0.97456,19722
"OCLN",0.1659,7753,0.52544,14276
"OCM",0.11962,6214,0.24821,9292
"OCM2",0.69888,16844,0.45081,13149
"OCRL",0.16293,7657,0.34692,11521
"OCSTAMP",0.79378,17729,0.80793,17796
"ODAM",0.017577,1630,0.93967,19122
"ODC1",0.106,5747,0.5404,14486
"ODF1",0.086323,5050,0.26019,9564
"ODF2",0.017447,1626,0.01484,1474
"ODF2L",0.13506,6766,0.84256,18238
"ODF3",0.87719,18680,0.33822,11315
"ODF3B",0.48902,14073,0.11101,5568
"ODF3L1",0.35714,12019,0.56159,14801
"ODF3L2",0.15148,7309,0.25081,9351
"ODF4",0.25172,9892,0.055078,3514
"OFCC1",0.16793,7815,0.91722,18912
"OFD1",0.045429,3200,0.8536,18384
"OGDH",0.10498,5704,0.48155,13589
"OGDHL",0.99539,20218,0.24229,9165
"OGFOD1",0.65568,16355,0.10354,5295
"OGFOD2",0.0046679,586,0.99556,20295
"OGFOD3",0.29745,10860,0.18763,7874
"OGFR",0.13799,6861,0.25759,9510
"OGFRL1",0.39023,12667,0.052988,3405
"OGG1",0.71613,16994,0.039774,2766
"OGN",0.83121,18137,0.11334,5648
"OGT",0.78823,17668,0.0044512,740
"OIP5",0.28963,10704,0.015609,1510
"OIT3",0.6957,16822,0.007413,958
"OLA1",0.0071068,800,0.66827,16262
"OLAH",0.12294,6327,0.96845,19588
"OLFM1",0.12323,6337,0.09122,4856
"OLFM2",0.19268,8568,0.27641,9940
"OLFM3",0.17336,7978,0.61048,15574
"OLFM4",0.33404,11570,0.99429,20264
"OLFML1",0.96662,19514,0.099652,5146
"OLFML2A",0.71648,16997,0.10781,5456
"OLFML2B",0.80012,17797,0.12997,6214
"OLFML3",0.57246,15228,0.3239,10985
"OLIG1",0.80045,17802,0.10244,5246
"OLIG2",0.030423,2348,0.029198,2239
"OLIG3",0.48118,13966,0.027396,2140
"OLR1",0.5074,14321,0.15112,6887
"OMA1",0.34263,11716,0.93816,19108
"OMD",0.6197,15860,0.043364,2946
"OMG",0.17832,8125,0.55253,14665
"OMP",0.17094,7912,0.30625,10624
"ONECUT1",0.63031,16017,0.1206,5905
"ONECUT2",0.018468,1692,0.86097,18476
"ONECUT3",0.035082,2627,0.12816,6148
"OOEP",0.99121,20075,0.00052308,293
"OOSP1",0.62305,15902,0.15402,6978
"OOSP2",0.21079,8976,0.34927,11566
"OPA1",0.61943,15857,0.087342,4710
"OPA3",0.17151,7926,0.0068045,907
"OPALIN",0.062251,4083,0.3448,11475
"OPCML",0.34039,11677,0.12035,5897
"OPHN1",0.11054,5905,0.98177,19927
"OPLAH",0.044992,3168,0.53691,14441
"OPN1LW",0.31829,11265,0.20893,8392
"OPN1MW",0.56253,15086,0.43747,12948
"OPN1MW2",0.1706,7899,0.2326,8907
"OPN1SW",0.18934,8482,0.3937,12371
"OPN3",0.044521,3141,0.43448,12918
"OPN4",0.018133,1663,0.64053,16005
"OPN5",0.025756,2103,0.45428,13197
"OPRD1",0.31994,11295,0.99377,20250
"OPRK1",0.033677,2539,0.056614,3577
"OPRL1",0.49273,14127,0.56251,14816
"OPRM1",0.2351,9522,0.090917,4849
"OPTC",0.06049,3985,0.59654,15363
"OPTN",0.13637,6808,0.95762,19369
"OR10A2",0.0020855,363,0.96567,19529
"OR10A3",0.89545,18813,0.020295,1766
"OR10A4",0.14778,7194,0.25847,9527
"OR10A5",0.31643,11225,0.20107,8192
"OR10A6",0.03966,2885,0.28827,10233
"OR10A7",0.4966,14187,0.36421,11865
"OR10AC1P",0.98827,20001,0.15208,6916
"OR10AD1",0.76469,17449,0.31164,10737
"OR10AG1",0.087246,5081,0.0048659,767
"OR10C1",0.1626,7643,0.16013,7160
"OR10D3",0.17119,7917,0.077757,4385
"OR10G2",0.88968,18785,0.031566,2373
"OR10G3",0.64136,16179,0.3758,12096
"OR10G4",0.55449,14940,0.15219,6925
"OR10G6",0.30748,11058,0.38103,12196
"OR10G7",0.11096,5919,0.055482,3532
"OR10G8",0.091864,5252,0.96637,19550
"OR10G9",0.95077,19272,0.48807,13681
"OR10H1",0.054944,3707,0.96944,19615
"OR10H2",0.18017,8181,0.14726,6768
"OR10H3",0.65356,16329,0.011013,1221
"OR10H4",0.64239,16192,0.52397,14256
"OR10H5",0.63495,16082,0.35737,11737
"OR10J1",0.0077072,859,0.99959,20428
"OR10J3",0.5214,14498,0.73468,16880
"OR10J4",0.27151,10328,0.62085,15718
"OR10J5",0.58712,15429,0.14335,6650
"OR10K1",0.039337,2870,0.47233,13474
"OR10K2",0.13872,6885,0.51267,14089
"OR10P1",0.03871,2832,0.37206,12019
"OR10Q1",0.9164,18932,0.27976,10034
"OR10R2",0.21439,9058,0.64268,16031
"OR10S1",0.18232,8258,0.12261,5959
"OR10T2",0.027119,2179,0.80959,17821
"OR10V1",0.53928,14746,0.63803,15976
"OR10W1",0.040673,2936,0.11013,5539
"OR10X1",0.097404,5450,0.079881,4465
"OR10Z1",0.30952,11105,0.085373,4635
"OR11A1",0.21289,9021,0.069581,4077
"OR11G2",0.0086553,930,0.97579,19749
"OR11H1",0.55201,14914,0.01237,1319
"OR11H12",0.62737,15978,0.58186,15130
"OR11H4",0.16179,7628,0.13748,6464
"OR11H6",0.092154,5267,0.72772,16814
"OR11H7",0.014338,1384,0.51299,14091
"OR11L1",0.063005,4112,0.63681,15956
"OR12D1",0.61397,15784,0.074379,4242
"OR12D2",0.37116,12294,0.91094,18862
"OR12D3",0.099055,5506,0.31259,10748
"OR13A1",0.099732,5524,0.034194,2493
"OR13C2",0.57099,15199,0.20321,8238
"OR13C3",0.030012,2325,0.21915,8606
"OR13C4",0.056243,3774,0.95016,19263
"OR13C5",0.34635,11791,0.04295,2923
"OR13C7P",0.077092,4696,0.7664,17288
"OR13C8",0.63198,16042,0.61862,15688
"OR13C9",0.028238,2227,0.99158,20182
"OR13D1",0.011174,1143,0.51442,14114
"OR13F1",0.099253,5511,0.32666,11040
"OR13G1",0.11773,6133,0.12821,6150
"OR13H1",0.39319,12721,0.90601,18809
"OR13J1",0.27769,10457,0.24702,9264
"OR14A16",0.23376,9498,0.13517,6384
"OR14A2",0.26787,10247,0.087439,4716
"OR14C36",0.35104,11883,0.32507,11000
"OR14I1",0.17089,7909,0.42538,12780
"OR14J1",0.20758,8920,0.76598,17287
"OR14K1",0.00050754,167,0.21563,8533
"OR1A1",0.12062,6245,0.66379,16225
"OR1A2",0.37832,12424,0.72498,16792
"OR1B1",0.56885,15175,0.82985,18071
"OR1C1",0.76922,17491,0.17273,7500
"OR1D2",0.31968,11290,0.033126,2447
"OR1D5",0.26102,10095,0.36829,11949
"OR1E1",0.00067753,191,0.56108,14795
"OR1E2",0.047215,3286,0.80132,17710
"OR1F1",0.23127,9427,0.84929,18328
"OR1G1",0.094094,5337,0.78459,17520
"OR1I1",0.71797,17012,0.020457,1775
"OR1J1",0.42145,13158,0.031445,2364
"OR1J2",0.00032627,140,0.21337,8485
"OR1J4",0.10127,5581,0.37096,12001
"OR1K1",0.070147,4418,0.88283,18643
"OR1L1",0.30697,11049,0.38006,12171
"OR1L3",0.0082436,907,0.30875,10681
"OR1L4",0.34589,11781,0.29418,10364
"OR1L6",0.11646,6093,0.10916,5503
"OR1L8",0.64686,16250,0.49516,13811
"OR1M1",0.71434,16974,0.10155,5216
"OR1N1",0.0085759,927,0.85072,18344
"OR1N2",0.36923,12265,0.27791,9981
"OR1Q1",0.61496,15792,0.0086521,1065
"OR1S1",0.36876,12252,0.19885,8135
"OR1S2",0.68693,16749,0.73403,16873
"OR2A1",0.058301,3878,0.39638,12406
"OR2A12",0.43181,13300,0.51069,14049
"OR2A14",0.083605,4953,0.077418,4370
"OR2A2",0.30699,11051,0.92331,18971
"OR2A25",0.0587,3905,0.9475,19215
"OR2A4",0.36252,12130,0.98037,19889
"OR2A42",0.022611,1923,0.66014,16196
"OR2A5",0.1752,8034,0.36623,11914
"OR2A7",0.50445,14285,0.5133,14095
"OR2AE1",0.25725,10016,0.51823,14161
"OR2AG1",0.91434,18915,0.072727,4178
"OR2AG2",0.75286,17338,0.038785,2723
"OR2AJ1",0.818,17993,0.00050597,291
"OR2AK2",0.045919,3226,0.68824,16457
"OR2AP1",0.1498,7271,0.73793,16929
"OR2AT4",0.77397,17535,0.4074,12558
"OR2B11",0.2676,10242,0.29924,10482
"OR2B2",0.61064,15742,0.070638,4109
"OR2B3",0.50007,14230,0.96969,19619
"OR2B6",0.042136,3017,0.21584,8535
"OR2C1",0.050306,3456,0.98811,20103
"OR2C3",0.15498,7416,0.53214,14377
"OR2D2",0.75075,17323,0.55944,14768
"OR2D3",0.00083034,222,0.53692,14442
"OR2F1",0.47218,13842,0.7855,17532
"OR2F2",0.3573,12024,0.24222,9163
"OR2G2",0.18069,8202,0.71806,16719
"OR2G3",0.079676,4784,0.56872,14914
"OR2G6",0.14299,7035,0.064324,3875
"OR2H1",0.0057848,691,0.18399,7787
"OR2H2",0.46456,13764,0.52872,14326
"OR2J1",0.15261,7345,0.76299,17241
"OR2J2",0.36103,12096,0.83917,18193
"OR2J3",0.042658,3038,0.85691,18435
"OR2K2",0.056026,3766,0.28666,10200
"OR2L13",0.084607,4984,0.011942,1283
"OR2L2",0.85556,18417,0.12912,6185
"OR2L3",0.4889,14071,0.16887,7416
"OR2L5",0.053618,3628,0.46235,13336
"OR2L8",0.53232,14648,0.60996,15569
"OR2M2",0.5897,15470,0.31105,10720
"OR2M3",0.67152,16594,0.033696,2467
"OR2M4",0.084915,4994,0.12976,6209
"OR2M5",0.8004,17801,0.0073523,952
"OR2M7",0.04455,3144,0.26072,9580
"OR2S2",0.086912,5070,0.95777,19373
"OR2T1",0.059257,3925,0.51131,14059
"OR2T10",0.28047,10508,0.15601,7044
"OR2T11",0.026587,2147,0.30121,10529
"OR2T12",0.36202,12118,0.84337,18248
"OR2T2",0.4175,13112,0.44361,13042
"OR2T27",0.26417,10168,0.83225,18107
"OR2T29",0.59622,15549,0.5765,15045
"OR2T3",0.32355,11372,0.032768,2427
"OR2T33",0.018776,1715,0.86598,18544
"OR2T34",0.98191,19837,0.0030473,617
"OR2T35",0.058736,3908,0.32303,10968
"OR2T4",0.2974,10859,0.94984,19257
"OR2T5",0.010801,1117,0.81295,17865
"OR2T6",0.20667,8900,0.3436,11444
"OR2T7",0.25652,9997,0.10263,5255
"OR2T8",0.46827,13801,0.33852,11321
"OR2V1",0.076906,4686,0.29209,10320
"OR2V2",0.065158,4222,0.1483,6797
"OR2W1",0.6072,15697,0.62632,15800
"OR2W3",0.31117,11137,0.24764,9280
"OR2Y1",0.30624,11036,0.8029,17732
"OR2Z1",0.33718,11621,0.11505,5699
"OR3A1",0.059703,3951,0.45425,13196
"OR3A2",0.59194,15503,0.62212,15745
"OR3A3",0.051943,3546,0.18712,7860
"OR4A15",0.49498,14162,0.10903,5496
"OR4A16",0.015744,1512,0.85347,18381
"OR4A47",0.97622,19701,0.8733,18591
"OR4A5",0.076989,4689,0.54823,14602
"OR4A8P",0.36156,12109,0.45857,13285
"OR4B1",0.14978,7269,0.57983,15090
"OR4C11",0.91311,18907,0.0014883,448
"OR4C12",0.04461,3150,0.45128,13155
"OR4C13",0.073197,4525,0.33236,11153
"OR4C15",0.059288,3928,0.069881,4088
"OR4C16",0.62583,15951,0.0079164,1009
"OR4C3",0.18139,8236,0.32917,11093
"OR4C46",0.61479,15790,0.84041,18208
"OR4C5",0.81808,17994,0.19511,8039
"OR4C6",0.52307,14524,0.63925,15989
"OR4D1",0.0037758,506,0.24242,9167
"OR4D10",0.57508,15258,0.044115,2987
"OR4D11",0.12142,6268,0.11114,5576
"OR4D2",0.265,10190,0.35931,11777
"OR4D5",0.7537,17344,0.68708,16449
"OR4D6",0.36715,12222,0.28823,10230
"OR4D9",0.1057,5728,0.063335,3835
"OR4E2",0.0072626,819,0.88901,18684
"OR4F15",0.43882,13401,0.016622,1570
"OR4F16",0.075563,4633,0.026766,2116
"OR4F17",0.4818,13984,0.13962,6543
"OR4F21",0.78162,17610,0.10731,5439
"OR4F3",0.64975,16281,0.35025,11586
"OR4F4",0.59106,15493,0.33873,11328
"OR4F5",0.98472,19912,0.19539,8043
"OR4F6",0.15597,7448,0.38862,12304
"OR4K1",0.5925,15511,0.030116,2290
"OR4K13",0.99384,20166,0.23414,8942
"OR4K14",0.27685,10437,0.20742,8360
"OR4K15",0.062532,4092,0.17993,7680
"OR4K17",0.39272,12713,0.50289,13928
"OR4K2",0.16432,7702,0.21306,8476
"OR4K5",0.41827,13119,0.31515,10798
"OR4L1",0.024288,2012,0.28582,10178
"OR4M1",0.56432,15108,0.031844,2384
"OR4M2",0.049303,3392,0.6362,15948
"OR4N2",0.83684,18205,0.2161,8547
"OR4N4",0.11233,5966,0.96506,19515
"OR4N5",0.1305,6607,0.98462,20006
"OR4P4",0.063695,4141,0.37161,12013
"OR4Q2",0.033785,2550,0.31619,10827
"OR4Q3",0.23844,9593,0.24066,9123
"OR4S1",0.022176,1893,0.58596,15204
"OR4S2",0.26441,10175,0.24464,9214
"OR4X1",4.1052e-05,82,0.13636,6438
"OR4X2",0.15674,7480,0.20859,8382
"OR51A2",0.069722,4401,0.12233,5950
"OR51A4",0.041423,2971,0.030668,2320
"OR51A7",0.52715,14591,0.13085,6232
"OR51B2",0.030413,2347,0.020587,1784
"OR51B4",0.3454,11771,0.012213,1303
"OR51B5",0.14899,7244,0.78378,17506
"OR51B6",0.52188,14508,0.54625,14574
"OR51D1",0.58482,15393,0.17663,7604
"OR51E1",0.19309,8576,0.0076298,976
"OR51E2",0.079839,4790,0.20592,8327
"OR51F1",0.22125,9209,0.50549,13971
"OR51F2",0.93903,19133,0.21536,8527
"OR51G1",0.2871,10654,0.46506,13380
"OR51G2",0.035986,2669,0.39265,12353
"OR51H1P",0.18188,8247,0.40409,12518
"OR51I1",0.12747,6489,0.13924,6532
"OR51I2",0.015423,1476,0.53522,14418
"OR51J1",0.058884,3912,0.1386,6504
"OR51L1",0.13311,6694,0.18981,7928
"OR51M1",0.014952,1442,0.007569,968
"OR51Q1",0.43675,13368,0.041959,2878
"OR51S1",0.28068,10511,0.022953,1914
"OR51T1",0.051959,3547,0.46096,13316
"OR51V1",0.0019604,342,0.88644,18664
"OR52A1",0.20897,8945,0.45279,13171
"OR52A5",0.9255,19011,0.25473,9439
"OR52B1P",0.08121,4850,0.058938,3665
"OR52B2",0.12969,6569,0.76203,17228
"OR52B4",0.1394,6909,0.89634,18734
"OR52B6",0.44351,13464,0.79038,17588
"OR52D1",0.4048,12923,0.084129,4599
"OR52E1",0.2913,10731,0.15707,7071
"OR52E2",0.0064772,747,0.42062,12715
"OR52E4",0.022871,1938,0.89766,18742
"OR52E6",0.039813,2893,0.31136,10727
"OR52E8",0.014489,1396,0.98203,19933
"OR52H1",0.057894,3850,0.58653,15213
"OR52I1",0.084169,4971,0.3421,11409
"OR52I2",0.97861,19757,0.12273,5964
"OR52J3",0.029252,2285,0.59132,15284
"OR52K1",0.93022,19047,0.0076858,983
"OR52K2",0.40079,12854,0.58161,15121
"OR52L1",0.9323,19071,0.96067,19437
"OR52M1",0.11843,6159,0.56573,14861
"OR52N1",0.26273,10132,0.44064,12994
"OR52N2",0.064638,4187,0.15054,6861
"OR52N4",0.024311,2014,0.98013,19881
"OR52N5",0.12479,6403,0.20157,8207
"OR52R1",0.080547,4826,0.47771,13538
"OR52W1",0.29621,10836,0.24805,9290
"OR56A1",0.99474,20198,0.10298,5272
"OR56A3",0.74713,17285,0.016352,1549
"OR56A4",0.82259,18038,0.083116,4571
"OR56B1",0.15333,7364,0.22597,8750
