"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"EMB",0.98242,15866,0.77002,11018
"EMC1",0.35421,8498,0.00059493,1484
"EMC10",0.89217,14235,0.89529,14221
"EMC2",0.99586,16366,9.3363e-05,989
"EMC3",0.99979,17004,2.6467e-05,697
"EMC4",1,17993,5.111e-09,19
"EMC6",0.99919,16731,0.00033968,1308
"EMC7",0.99997,17400,3.0132e-05,724
"EMC8",0.82342,13227,0.10386,3437
"EMC9",0.021911,1634,0.93631,15496
"EMCN",0.017003,1358,0.60496,8573
"EMD",0.0027242,445,0.96795,16575
"EME1",0.30021,7755,0.84888,12902
"EME2",0.95603,15301,0.81236,11902
"EMID1",0.80916,13052,0.37371,6022
"EMILIN1",0.12165,4699,0.79609,11555
"EMILIN2",0.03441,2333,0.94095,15657
"EMILIN3",0.022318,1664,0.93853,15574
"EML1",0.17581,6040,0.93981,15618
"EML2",0.95665,15312,0.31126,5261
"EML3",0.022313,1663,0.87773,13701
"EML4",0.078605,3619,0.87219,13557
"EML5",0.90607,14472,0.85309,13019
"EML6",0.71533,12083,0.44852,7088
"EMP1",0.94524,15099,0.28073,4940
"EMP2",0.25089,7123,0.74905,10638
"EMP3",0.49828,10555,0.81856,12049
"EMR1",0.85855,13713,0.33131,5473
"EMR2",0.91836,14647,0.56538,8189
"EMR3",0.36252,8630,0.42418,6716
"EMX1",0.15278,5506,0.37516,6038
"EMX2",0.3487,8408,0.51967,7837
"EN1",0.0027169,442,0.99728,17788
"EN2",0.95038,15193,0.89858,14328
"ENAH",0.90323,14424,0.43214,6839
"ENAM",0.040531,2541,0.96649,16524
"ENC1",0.20461,6523,0.84704,12844
"ENDOD1",0.17201,5955,0.92446,15105
"ENDOG",0.59585,11161,0.83395,12470
"ENDOU",0.033845,2295,0.96721,16540
"ENDOV",0.90667,14480,0.23531,4596
"ENG",0.49283,10469,0.64446,9015
"ENGASE",0.0089806,861,0.9857,17261
"ENHO",0.55444,10873,0.0090245,2204
"ENKD1",0.29905,7736,0.67359,9382
"ENKUR",0.026249,1857,0.90981,14635
"ENO1",1,17764,2.3379e-06,282
"ENO2",0.3871,8958,0.45333,7153
"ENO3",0.9338,14909,0.31774,5318
"ENOPH1",0.39411,9067,0.23986,4622
"ENOSF1",0.015228,1241,0.95032,15967
"ENOX1",0.08147,3695,0.92066,14980
"ENOX2",0.01654,1333,0.95113,15991
"ENPEP",0.86574,13837,0.48321,7566
"ENPP1",0.075059,3537,0.45548,7186
"ENPP2",0.3154,7958,0.9713,16708
"ENPP3",0.49031,10437,0.8114,11877
"ENPP4",0.58013,11048,0.82513,12222
"ENPP5",0.79972,12938,0.44452,7016
"ENPP6",0.47572,10227,0.77665,11151
"ENPP7",0.1344,5037,0.10627,3465
"ENSA",0.86886,13886,0.42201,6688
"ENTHD1",0.74813,12380,0.41543,6587
"ENTHD2",0.56971,10987,0.75848,10807
"ENTPD1",0.13179,4959,0.94891,15917
"ENTPD2",0.064871,3266,0.6987,9782
"ENTPD3",0.82713,13267,0.29027,5036
"ENTPD4",0.092033,3964,0.71148,9986
"ENTPD5",0.89937,14356,0.78843,11406
"ENTPD6",0.04874,2780,0.69437,9725
