"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"LETMD1",0.17828,6107,0.56096,8158
"LFNG",0.50939,10621,0.021829,2563
"LGALS1",0.88375,14117,0.27818,4911
"LGALS12",0.84889,13567,0.74004,10478
"LGALS13",0.60438,11221,0.15198,3993
"LGALS14",0.29917,7738,0.58573,8374
"LGALS16",0.12859,4886,0.76975,11013
"LGALS2",0.10204,4219,0.77926,11201
"LGALS3",0.14909,5427,0.77059,11035
"LGALS3BP",0.12356,4759,0.83687,12554
"LGALS4",0.4515,9876,0.86917,13464
"LGALS7",0.75462,12434,0.24827,4676
"LGALS7B",0.87635,14007,0.36208,5869
"LGALS8",0.0016523,312,0.97315,16784
"LGALS9",0.93148,14858,0.10177,3415
"LGALS9C",0.98772,16021,0.012278,2303
"LGALSL",0.15694,5598,0.86715,13406
"LGI1",0.48838,10413,0.54814,8048
"LGI2",0.0096526,901,0.9422,15693
"LGI3",0.60356,11215,0.5528,8094
"LGI4",0.88321,14109,0.64713,9045
"LGMN",0.14391,5291,0.83691,12556
"LGR4",0.076386,3566,0.6554,9137
"LGR5",0.022373,1667,0.96397,16428
"LGR6",0.26566,7313,0.81065,11852
"LGSN",0.67468,11749,0.4185,6636
"LHB",0.10567,4299,0.52552,7871
"LHCGR",0.34987,8426,0.84953,12920
"LHFP",0.035625,2384,0.9191,14935
"LHFPL1",0.49836,10556,0.83573,12520
"LHFPL2",0.16843,5868,0.95499,16128
"LHFPL4",0.337,8238,0.85246,13000
"LHFPL5",0.81346,13105,0.86141,13255
"LHPP",0.29168,7653,0.52849,7898
"LHX1",0.16597,5807,0.37662,6062
"LHX2",0.8397,13437,0.54999,8069
"LHX3",0.34811,8397,0.76202,10883
"LHX4",0.13087,4944,0.22613,4536
"LHX5",0.31227,7913,0.93447,15429
"LHX6",0.18135,6177,0.96213,16369
"LHX8",0.060383,3130,0.32955,5451
"LHX9",0.88417,14123,0.84983,12928
"LIAS",0.99996,17357,2.5563e-05,686
"LIF",0.113,4482,0.54475,8026
"LIFR",0.018485,1444,0.82829,12319
"LIG1",0.92418,14752,0.13668,3817
"LIG3",0.97857,15771,0.038137,2817
"LIG4",0.93243,14876,0.028014,2703
"LILRA1",0.0325,2211,0.65774,9166
"LILRA2",0.087028,3834,0.88644,13943
"LILRA3",0.083079,3735,0.20453,4393
"LILRA4",0.82109,13194,0.14324,3886
"LILRA5",0.32259,8046,0.67081,9350
"LILRA6",0.62187,11352,0.19818,4359
"LILRB1",0.67209,11732,0.31333,5277
"LILRB2",0.23804,6948,0.98886,17392
"LILRB3",0.37634,8828,0.39577,6315
"LILRB4",0.047237,2736,0.73502,10393
"LILRB5",0.017936,1416,0.74655,10586
"LIM2",0.017584,1399,0.93383,15411
"LIMA1",0.026529,1871,0.86456,13336
"LIMCH1",0.093436,4002,0.95669,16184
"LIMD1",0.049489,2798,0.70788,9923
"LIMD2",0.2898,7625,0.1454,3912
"LIME1",0.0052953,628,0.21697,4478
"LIMK1",0.72581,12174,0.90639,14547
"LIMK2",0.16232,5719,0.45169,7131
"LIMS1",0.18973,6302,0.96521,16474
"LIMS2",0.1876,6278,0.91617,14841
"LIMS3",0.95954,15364,0.015595,2390
"LIMS3L",0.69984,11950,0.30016,5138
"LIN28A",0.095891,4064,0.12675,3688
"LIN28B",0.66981,11711,0.42819,6774
"LIN37",0.42804,9528,0.29972,5133
"LIN52",0.99994,17259,6.1467e-05,893
"LIN54",0.82058,13190,0.077686,3175
"LIN7A",0.91557,14606,0.138,3833
"LIN7B",0.85351,13630,0.75615,10773
"LIN7C",0.005716,656,0.82542,12229
"LIN9",0.9975,16480,0.0025012,1904
"LINGO1",0.47791,10261,0.95686,16188
"LINGO2",0.87539,13982,0.428,6771
"LINGO3",0.36248,8629,0.95443,16107
"LINGO4",0.20559,6538,0.88533,13908
"LINS",0.9987,16638,0.0012955,1706
"LIPA",0.78088,12716,0.85789,13157
"LIPC",0.16175,5705,0.37549,6044
"LIPE",0.79151,12841,0.6334,8891
"LIPF",0.14426,5299,0.81446,11958
"LIPG",0.72347,12159,0.85609,13104
"LIPH",0.46884,10125,0.72886,10285
"LIPI",0.43444,9619,0.87731,13690
"LIPJ",0.69471,11903,0.95018,15962
"LIPK",0.0030502,480,0.9037,14471
"LIPM",0.42196,9442,0.43948,6945
"LIPN",0.15506,5555,0.88948,14034
"LIPT1",0.99957,16872,0.0004313,1378
"LIPT2",0.35125,8450,0.65857,9175
"LITAF",0.55978,10911,0.91714,14866
"LIX1",0.085683,3799,0.66486,9255
"LIX1L",0.46059,10012,0.86281,13278
"LLGL1",0.23065,6858,0.72579,10226
"LLGL2",0.58077,11051,0.025493,2649
"LLPH",0.97552,15701,0.03078,2750
"LMAN1",0.39881,9124,0.31907,5338
"LMAN1L",0.16853,5872,0.65027,9082
"LMAN2",0.54931,10844,0.27908,4920
"LMAN2L",0.41699,9376,0.34247,5615
"LMBR1",0.052925,2898,0.36009,5843
"LMBR1L",0.13708,5096,0.39009,6240
"LMBRD1",0.8979,14329,0.10821,3493
"LMBRD2",0.38299,8905,0.90667,14551
"LMCD1",0.026657,1879,0.99331,17586
"LMF1",0.90688,14483,0.40378,6435
"LMF2",0.91249,14565,0.3949,6307
"LMLN",0.32077,8028,0.69652,9753
"LMNA",0.49489,10504,0.78719,11381
"LMNB1",0.86733,13860,0.75622,10774
"LMNB2",0.56747,10969,0.23203,4577
"LMO1",0.37558,8817,0.88035,13763
"LMO2",0.33795,8251,0.92998,15297
"LMO3",0.042321,2598,0.85592,13098
"LMO4",0.88946,14197,0.88605,13933
"LMO7",0.88173,14085,0.21645,4473
"LMOD1",0.6634,11666,0.27515,4885
"LMOD2",0.36873,8707,0.91368,14755
"LMOD3",0.077254,3587,0.47801,7512
"LMTK2",0.0025445,421,0.63127,8867
"LMTK3",0.43449,9620,0.82894,12339
"LMX1A",0.86492,13823,0.80379,11710
"LMX1B",0.8751,13975,0.51043,7767
"LNP1",0.49785,10546,0.64995,9078
"LNPEP",0.14958,5446,0.85084,12956
"LNX1",0.72095,12127,0.47476,7461
"LNX2",0.16883,5883,0.98466,17206
"LOC100507003",0.86551,13834,0.42944,6797
"LOC100653515",0.84959,13577,0.83198,12424
"LOC101059918",0.19009,6307,0.80991,11837
"LOC101928603",0.058413,3078,0.78194,11260
"LOC147646",0.030579,2117,0.79365,11512
"LOC152586",0.00089439,209,0.47404,7447
"LOC643669",0.45126,9869,0.63087,8863
"LOC729020",0.98931,16079,0.079628,3200
"LOC729574",0.9933,16231,0.0066951,2120
"LOC81691",0.25309,7151,0.66463,9253
"LOH12CR1",0.99997,17366,3.4917e-05,757
"LONP1",1,17746,2.8289e-06,302
"LONP2",0.4487,9835,0.72788,10270
"LONRF1",0.013541,1136,0.98195,17087
"LONRF2",0.17723,6077,0.80008,11633
"LONRF3",0.031746,2166,0.96229,16375
"LOR",0.37817,8850,0.88803,13984
"LOX",0.00058391,152,0.99942,17932
"LOXHD1",0.020239,1550,0.76579,10950
"LOXL1",0.77515,12642,0.83377,12467
"LOXL2",0.052609,2893,0.91379,14761
"LOXL3",0.57507,11018,0.90392,14478
"LOXL4",0.19065,6317,0.79939,11623
"LPA",0.39127,9020,0.27441,4877
"LPAR1",0.0027742,449,0.33517,5520
"LPAR2",0.0013161,272,0.99868,17871
"LPAR3",0.38321,8909,0.81112,11870
"LPAR4",0.0086237,839,0.96107,16334
"LPAR5",0.95039,15194,0.88503,13895
"LPAR6",0.10987,4399,0.13025,3735
"LPCAT1",0.99915,16721,0.00085179,1593
"LPCAT2",0.73185,12218,0.6829,9517
"LPCAT3",0.93759,14961,0.038548,2824
"LPCAT4",0.033997,2303,0.98308,17133
"LPGAT1",0.14035,5190,0.86423,13323
"LPHN1",0.00097211,226,0.99903,17898
"LPHN2",0.33068,8153,0.36244,5871
"LPHN3",0.028227,1974,0.99689,17756
"LPIN1",0.51084,10629,0.67813,9444
"LPIN2",0.5923,11142,0.70032,9809
"LPIN3",0.47999,10292,0.82746,12294
"LPL",0.12739,4851,0.68937,9635
"LPO",0.36174,8614,0.48111,7558
"LPP",0.63697,11448,0.81177,11887
"LPPR1",0.024246,1754,0.99356,17602
"LPPR2",0.089195,3889,0.67545,9416
"LPPR3",0.45695,9957,0.88765,13974
"LPPR4",0.021321,1607,0.69129,9666
"LPPR5",0.23435,6908,0.78544,11343
"LPXN",0.97219,15625,0.71814,10094
"LRAT",0.10078,4185,0.97333,16788
"LRBA",6.0919e-05,62,0.90344,14465
"LRCH1",0.04732,2738,0.93878,15584
"LRCH2",0.4593,9993,0.42914,6790
"LRCH3",0.35972,8575,0.92278,15057
"LRCH4",0.0020899,375,0.8913,14089
"LRFN1",0.44695,9812,0.61606,8693
"LRFN2",0.034209,2321,0.57723,8293
"LRFN3",0.31889,8008,0.39634,6323
"LRFN4",0.42382,9458,0.95262,16046
"LRFN5",0.13373,5013,0.67466,9401
"LRG1",0.084224,3764,0.75389,10733
"LRGUK",0.081293,3689,0.82544,12231
"LRIF1",0.6817,11795,0.72981,10301
"LRIG1",0.071348,3443,0.33552,5531
"LRIG2",0.1501,5454,0.57448,8268
"LRIG3",0.045766,2703,0.84911,12911
"LRIT1",0.054679,2962,0.9672,16539
"LRIT2",0.33008,8144,0.92982,15289
"LRIT3",0.1816,6182,0.86962,13480
"LRMP",0.82026,13186,0.6529,9109
"LRP1",0.47446,10209,0.98855,17378
"LRP10",0.83765,13404,0.30223,5161
"LRP11",0.18046,6159,0.76967,11009
"LRP12",0.93485,14928,0.74896,10635
"LRP1B",0.31778,7995,0.71856,10102
"LRP2",0.86906,13890,0.39082,6256
"LRP2BP",0.056639,3024,0.98452,17200
"LRP3",0.013919,1164,0.23451,4591
"LRP4",0.25222,7136,0.87426,13613
"LRP5",0.43854,9690,0.12613,3682
"LRP5L",0.13743,5099,0.74532,10564
"LRP6",0.14747,5381,0.82593,12243
"LRP8",0.99999,17585,1.927e-06,264
"LRPAP1",0.99997,17399,3.0456e-05,725
"LRPPRC",0.94085,15020,0.0015786,1769
"LRR1",0.99935,16780,3.6944e-05,767
"LRRC1",0.38988,8993,0.68668,9585
"LRRC10",0.023908,1741,0.90169,14413
"LRRC10B",0.57966,11042,0.57358,8261
"LRRC14",0.78657,12781,0.25115,4706
"LRRC14B",0.98494,15937,0.021942,2567
"LRRC15",0.089866,3915,0.15805,4074
"LRRC16A",0.13432,5035,0.84178,12680
"LRRC16B",0.019956,1538,0.95823,16235
"LRRC17",0.030391,2106,0.99658,17738
"LRRC18",0.041952,2586,0.76311,10902
"LRRC19",0.27248,7401,0.11434,3556
"LRRC2",0.16432,5757,0.73514,10394
"LRRC20",0.16682,5823,0.98699,17316
"LRRC23",0.91132,14549,0.71409,10038
"LRRC24",0.36809,8703,0.61355,8663
"LRRC25",0.79434,12874,0.64667,9039
"LRRC26",0.057552,3053,0.36825,5951
"LRRC27",0.023925,1742,0.6653,9263
"LRRC28",0.023298,1710,0.45396,7161
"LRRC29",0.23297,6891,0.30074,5146
"LRRC3",0.33856,8260,0.46211,7272
"LRRC30",0.0057198,658,0.96592,16502
"LRRC31",0.15099,5474,0.84063,12653
"LRRC32",0.022793,1688,0.98411,17183
"LRRC34",0.45721,9962,0.43691,6904
"LRRC36",0.14433,5302,0.72065,10138
"LRRC37A3",0.9579,15334,0.042102,2853
"LRRC37B",0.71315,12059,0.83705,12562
"LRRC38",0.064546,3259,0.79001,11434
"LRRC39",0.11114,4436,0.23056,4565
"LRRC3B",0.43896,9699,0.62681,8820
"LRRC3C",0.91818,14646,0.0075714,2164
"LRRC4",0.44605,9796,0.43479,6871
"LRRC40",0.12989,4917,0.95846,16246
"LRRC41",0.18639,6261,0.76575,10948
"LRRC42",0.32199,8039,0.85009,12938
"LRRC43",0.063845,3240,0.94577,15813
"LRRC45",0.81705,13147,0.86834,13444
"LRRC46",0.35034,8435,0.96109,16335
"LRRC47",0.81577,13135,0.58053,8328
"LRRC48",0.54152,10805,0.29898,5124
"LRRC49",0.97766,15752,0.079011,3190
"LRRC4B",0.45853,9983,0.85656,13121
"LRRC4C",0.075161,3539,0.74868,10630
"LRRC52",0.72176,12134,0.75966,10836
"LRRC55",0.18877,6294,0.83373,12466
"LRRC56",0.45873,9985,0.60244,8543
"LRRC57",0.96556,15490,0.091225,3313
"LRRC58",0.0054738,640,0.8515,12972
"LRRC59",0.27301,7413,0.78469,11327
"LRRC6",0.010202,936,0.47827,7522
"LRRC61",0.81961,13180,0.93158,15348
"LRRC63",0.17809,6102,0.33527,5521
"LRRC66",0.58379,11081,0.47634,7486
"LRRC7",0.16527,5784,0.37179,5998
"LRRC70",0.081099,3684,0.70017,9805
"LRRC71",0.51147,10633,0.27199,4859
"LRRC72",0.45775,9971,0.33163,5477
"LRRC73",0.38548,8937,0.1131,3543
"LRRC8A",3.2334e-06,26,0.98906,17402
"LRRC8B",0.00011341,79,0.99989,17968
"LRRC8C",3.5642e-05,49,0.99899,17895
"LRRC8D",0.085287,3790,0.88331,13841
"LRRC8E",0.79847,12924,0.77438,11106
"LRRCC1",0.070963,3434,0.86037,13225
"LRRD1",0.77056,12596,0.69116,9665
"LRRFIP1",0.95068,15200,0.4491,7097
"LRRFIP2",0.0015525,298,0.95028,15964
"LRRIQ1",0.21642,6667,0.68725,9598
"LRRIQ3",0.17832,6109,0.74482,10553
"LRRIQ4",0.011034,997,0.87081,13527
"LRRK1",0.00085758,203,0.97262,16769
"LRRK2",0.94305,15068,0.098559,3383
"LRRN1",0.0043628,567,0.65968,9186
"LRRN2",0.48847,10415,0.4409,6965
"LRRN3",0.062436,3196,0.91678,14857
"LRRN4",0.10661,4320,0.58307,8353
"LRRN4CL",0.97316,15644,0.84592,12812
"LRRTM1",0.15564,5569,0.98046,17030
"LRRTM2",0.029243,2038,0.57901,8311
"LRRTM3",0.016564,1334,0.96082,16323
"LRRTM4",0.26786,7341,0.96844,16595
"LRSAM1",0.7978,12917,0.47165,7395
"LRTM1",0.73152,12214,0.28087,4942
"LRTM2",0.67917,11786,0.39691,6331
"LRTOMT",0.27202,7396,0.77968,11212
"LRWD1",0.43201,9590,0.9046,14499
"LSAMP",0.013649,1145,0.36455,5901
"LSG1",0.99997,17403,2.9452e-05,720
"LSM1",0.71358,12063,0.42965,6800
"LSM10",0.99999,17651,3.4733e-07,129
"LSM11",1,17778,1.9101e-06,262
"LSM12",0.99998,17470,1.9954e-05,636
"LSM14A",0.9659,15502,0.0067713,2126
"LSM14B",0.29054,7633,0.57754,8298
"LSM2",0.96413,15451,5.2104e-05,860
"LSM3",0.99555,16350,0.0044464,2008
"LSM4",1,17999,1.8216e-09,10
"LSM5",0.99992,17211,7.843e-05,948
"LSM6",0.96178,15398,0.0012765,1702
"LSM7",0.99969,16926,0.00023342,1222
"LSMD1",0.91216,14559,0.11669,3579
"LSMEM1",0.056974,3041,0.57885,8310
"LSMEM2",0.84191,13464,0.73367,10371
"LSP1",0.79106,12837,0.79848,11603
"LSR",0.030221,2096,0.67414,9387
"LSS",0.013891,1162,0.85982,13210
"LST1",0.56939,10982,0.012893,2317
"LTA",0.30083,7766,0.42432,6723
"LTA4H",0.33559,8218,0.91411,14773
"LTB",0.18825,6290,0.62968,8853
"LTB4R",0.0064974,709,0.99019,17448
"LTB4R2",0.33936,8274,0.89808,14314
"LTBP1",0.033526,2278,0.96388,16426
"LTBP2",0.08079,3678,0.82792,12304
"LTBP3",0.11993,4650,0.58993,8420
"LTBR",0.034505,2336,0.6518,9098
"LTC4S",0.014474,1201,0.68301,9520
"LTF",0.96685,15515,0.089912,3294
"LTK",0.077344,3589,0.98213,17093
"LTN1",0.97233,15629,0.046313,2887
"LTV1",0.96444,15463,0.0071486,2148
"LUC7L",0.50487,10589,0.60475,8571
"LUC7L2",0.94174,15044,0.16363,4145
"LUC7L3",1,17956,8.5804e-08,61
"LUM",0.001252,266,0.33826,5568
"LURAP1",0.14613,5350,0.84895,12906
"LURAP1L",0.02863,1997,0.9805,17032
"LUZP1",0.41321,9315,0.7183,10097
"LUZP2",0.40219,9172,0.54003,7988
"LUZP4",0.013882,1159,0.99112,17487
"LUZP6",0.62711,11391,0.37289,6011
"LXN",0.065832,3289,0.39075,6255
"LY6D",0.09661,4081,0.41725,6619
"LY6E",0.2585,7218,0.76615,10958
"LY6G5B",0.94213,15052,0.22694,4541
"LY6G5C",0.14723,5375,0.83346,12458
"LY6G6C",0.093183,3996,0.92975,15286
"LY6G6D",0.097277,4099,0.7587,10811
"LY6G6F",0.77102,12599,0.79062,11449
"LY6H",0.27659,7462,0.94483,15791
"LY6K",0.39179,9031,0.30402,5189
"LY75",0.28204,7522,0.92693,15191
"LY75-CD302",0.35244,8470,0.64756,9049
"LY86",0.062489,3199,0.84814,12882
"LY9",0.85378,13638,0.11625,3575
"LY96",0.12263,4728,0.85468,13062
"LYAR",0.026094,1849,0.98364,17168
"LYG1",0.039906,2517,0.97955,17002
"LYG2",0.17184,5950,0.8698,13486
"LYL1",0.39689,9098,0.43679,6901
"LYN",0.97622,15723,0.24002,4624
"LYNX1",0.65567,11605,0.68803,9611
"LYPD1",0.041843,2583,0.92413,15096
"LYPD2",0.67692,11768,0.25476,4731
"LYPD3",0.97545,15700,0.7451,10556
"LYPD4",0.20807,6569,0.8553,13079
"LYPD5",0.6549,11595,0.95549,16149
"LYPD6",0.10841,4364,0.81216,11897
"LYPD6B",0.25226,7137,0.47195,7399
"LYPLA1",0.88207,14094,0.39731,6340
"LYPLA2",0.48331,10347,0.22337,4519
"LYPLAL1",0.7819,12729,0.24885,4683
"LYRM1",0.49521,10509,0.77675,11153
"LYRM2",0.83105,13323,0.25008,4696
"LYRM4",0.99999,17544,3.4971e-06,328
"LYRM5",0.59817,11175,0.40183,6406
"LYRM7",0.71028,12033,0.58205,8341
"LYRM9",0.7323,12220,0.94275,15713
"LYSMD1",0.61391,11295,0.31662,5303
"LYSMD2",0.065117,3272,0.67138,9354
"LYSMD3",0.1095,4389,0.33917,5577
"LYSMD4",0.22281,6755,0.20029,4376
"LYST",0.78093,12718,0.021277,2554
"LYVE1",0.81083,13067,0.68929,9633
"LYZ",0.29339,7679,0.46375,7290
"LYZL1",0.13575,5066,0.12127,3625
"LYZL2",0.90416,14438,0.49394,7642
"LYZL4",0.0022507,395,0.99775,17815
"LYZL6",0.89112,14221,0.10871,3499
"LZIC",0.6532,11584,0.65661,9150
"LZTFL1",0.27986,7503,0.78767,11388
"LZTR1",0.279,7489,0.065455,3062
"LZTS1",0.91421,14591,0.96604,16506
"LZTS2",0.70087,11960,0.82686,12278
"LZTS3",0.17265,5970,0.91075,14660
"M1AP",0.31356,7933,0.6131,8658
"M6PR",0.61477,11302,0.33566,5535
"MAATS1",0.40364,9189,0.73828,10446
"MAB21L1",0.023243,1707,0.67461,9400
"MAB21L2",0.0058994,673,0.87724,13689
"MAB21L3",0.066624,3316,0.9309,15330
"MACC1",0.9218,14715,0.21049,4438
"MACF1",0.091962,3962,0.67649,9426
"MACROD1",0.35992,8580,0.97781,16939
"MACROD2",0.062079,3185,0.65494,9132
"MAD1L1",0.99997,17428,2.5614e-05,688
"MAD2L1",1,17818,1.0559e-06,214
"MAD2L1BP",0.99653,16410,0.027927,2700
"MAD2L2",0.99999,17623,7.4596e-06,446
"MADCAM1",0.75994,12480,0.18952,4310
"MADD",0.020257,1552,0.96292,16395
"MAEA",0.99965,16906,0.00035376,1327
"MAEL",0.19938,6443,0.95677,16186
"MAF",0.56013,10913,0.50319,7716
"MAF1",0.99457,16300,0.031966,2766
"MAFA",0.2216,6740,0.78531,11339
"MAFB",0.84536,13507,0.90846,14600
"MAFF",0.010305,943,0.11734,3586
"MAFG",0.95312,15246,0.28581,4990
"MAFK",0.98522,15944,0.0022211,1877
"MAG",0.92701,14789,0.15594,4049
"MAGEA1",0.043565,2637,0.63054,8859
"MAGEA10",0.92819,14807,0.7129,10015
"MAGEA11",0.15036,5463,0.99544,17680
"MAGEA12",0.28761,7599,0.13498,3792
"MAGEA2",0.040284,2530,0.96831,16589
"MAGEA2B",0.35138,8455,0.64862,9067
"MAGEA3",0.3457,8368,0.29399,5065
"MAGEA4",0.02763,1939,0.97638,16891
"MAGEA6",0.070425,3419,0.95521,16138
"MAGEA8",0.25591,7184,0.62106,8753
"MAGEA9",0.22187,6743,0.44713,7067
"MAGEA9B",0.59944,11187,0.49027,7619
"MAGEB1",0.42949,9542,0.8934,14162
"MAGEB10",0.04626,2713,0.9244,15104
"MAGEB16",0.0025998,431,0.7518,10689
"MAGEB17",0.02788,1955,0.44681,7056
"MAGEB18",0.11561,4549,0.9848,17217
"MAGEB2",0.2034,6507,0.59423,8459
"MAGEB3",0.74439,12345,0.85642,13116
"MAGEB4",0.018716,1460,0.95437,16104
"MAGEB5",0.21885,6699,0.78576,11353
"MAGEB6",0.88079,14068,0.33039,5457
"MAGEC1",0.28238,7529,0.74097,10491
"MAGEC2",0.012311,1076,0.86208,13268
"MAGEC3",0.29916,7737,0.79581,11550
"MAGED1",0.16609,5809,0.93658,15504
"MAGED2",0.024707,1780,0.95508,16131
"MAGED4",0.0021647,383,0.37946,6097
"MAGED4B",0.49472,10501,0.43866,6929
"MAGEE1",0.10718,4337,0.95772,16217
"MAGEE2",0.071628,3450,0.95989,16291
"MAGEF1",0.019508,1515,0.97303,16780
"MAGEH1",0.031081,2139,0.62365,8781
"MAGI1",0.14453,5307,0.96732,16548
"MAGI2",0.047473,2740,0.9246,15114
"MAGI3",0.30214,7787,0.33507,5516
"MAGIX",0.0023655,406,0.94787,15878
"MAGOH",0.99942,16811,0.00057691,1475
"MAGOHB",0.9993,16761,0.00070491,1543
"MAGT1",0.29979,7748,0.87786,13705
"MAK",0.3785,8854,0.7714,11049
"MAK16",0.9995,16846,0.00048249,1414
"MAL",0.30055,7761,0.41075,6516
"MALL",0.10262,4234,0.057373,2991
"MALSU1",0.53374,10760,0.032679,2780
"MALT1",0.451,9865,0.7731,11086
"MAMDC2",0.37697,8836,0.96569,16492
"MAMDC4",0.9229,14732,0.6458,9030
"MAML1",0.068489,3358,0.98545,17251
"MAML2",0.22412,6777,0.68661,9584
"MAML3",0.02363,1728,0.81449,11959
"MAMLD1",0.63973,11473,0.88472,13887
"MAMSTR",0.29136,7649,0.6911,9664
"MAN1A1",0.80575,13008,0.53671,7961
"MAN1A2",0.94498,15096,0.12736,3694
"MAN1B1",0.11858,4614,0.87428,13615
"MAN1C1",0.36292,8640,0.14074,3862
"MAN2A1",0.98249,15868,0.017761,2455
"MAN2A2",0.85023,13586,0.79438,11530
"MAN2B1",0.95266,15235,0.27257,4862
"MAN2B2",0.87695,14020,0.76436,10920
"MAN2C1",0.45897,9990,0.4147,6578
"MANBA",0.16091,5691,0.73968,10470
"MANBAL",0.91745,14633,0.31979,5346
"MANEA",0.065693,3284,0.60063,8526
"MANEAL",0.40498,9209,0.53432,7938
"MANF",0.99999,17547,1.3123e-05,540
"MANSC1",0.60305,11214,0.73427,10382
"MANSC4",0.3502,8431,0.37936,6095
"MAOA",0.4487,9834,0.6937,9709
"MAOB",0.0077563,790,0.83357,12462
"MAP10",0.76889,12578,0.22514,4530
"MAP1A",0.0076599,786,0.54607,8035
"MAP1B",0.17399,6004,0.95609,16166
"MAP1LC3A",0.5626,10927,0.89127,14087
"MAP1LC3B",0.92197,14718,0.078034,3179
"MAP1LC3B2",0.99422,16272,0.0057838,2080
"MAP1LC3C",0.67193,11729,0.3972,6336
"MAP1S",0.97026,15586,0.24711,4664
"MAP2",0.057488,3048,0.91391,14768
"MAP2K1",0.065127,3273,0.89193,14112
"MAP2K2",0.38318,8908,0.1216,3630
"MAP2K3",0.99798,16535,0.002021,1845
"MAP2K4",0.32545,8085,0.86672,13393
"MAP2K5",0.94973,15176,0.066126,3068
"MAP2K6",0.31821,8000,0.73717,10426
"MAP2K7",0.015899,1295,0.39874,6360
"MAP3K1",0.054373,2953,0.77307,11085
"MAP3K10",0.13922,5165,0.47462,7458
"MAP3K11",0.79471,12879,0.94312,15726
"MAP3K12",0.043193,2629,0.92291,15063
"MAP3K13",0.30579,7829,0.57381,8264
"MAP3K19",0.41965,9412,0.5878,8394
"MAP3K2",0.73305,12225,0.35196,5736
"MAP3K3",0.051491,2857,0.91405,14771
"MAP3K4",0.97572,15712,0.27629,4896
"MAP3K5",0.16834,5864,0.91892,14929
"MAP3K6",0.10647,4316,0.33556,5532
"MAP3K7",0.8535,13629,0.14824,3955
"MAP3K7CL",0.39309,9052,0.19983,4372
"MAP3K8",0.1036,4257,0.83558,12516
"MAP3K9",0.43399,9614,0.66237,9225
"MAP4",0.336,8222,0.93052,15313
"MAP4K1",0.10377,4260,0.66246,9228
"MAP4K2",0.33908,8267,0.51269,7782
"MAP4K3",0.083068,3734,0.41767,6626
"MAP4K4",0.010779,984,0.62524,8800
"MAP6",0.048658,2779,0.61401,8669
"MAP6D1",0.45243,9888,0.63506,8911
"MAP7",0.13828,5129,0.92077,14982
"MAP7D1",0.8362,13384,0.59935,8515
"MAP7D2",0.17003,5904,0.97764,16934
"MAP7D3",0.73772,12273,0.53065,7914
"MAP9",0.03409,2311,0.9152,14811
"MAPK1",0.18331,6210,0.43953,6946
"MAPK10",0.030324,2103,0.98506,17229
"MAPK11",0.51077,10628,0.98122,17067
"MAPK12",0.41901,9405,0.63157,8874
"MAPK13",0.0064139,704,0.95535,16144
"MAPK14",0.99943,16814,0.00057064,1471
"MAPK15",0.55137,10859,0.92762,15212
"MAPK1IP1L",0.96232,15408,0.59615,8482
"MAPK3",0.801,12952,0.14772,3947
"MAPK4",0.46719,10104,0.75028,10657
"MAPK6",0.88343,14111,0.4252,6736
"MAPK7",0.16169,5702,0.96928,16628
"MAPK8",0.39146,9022,0.088144,3280
"MAPK8IP1",0.029949,2076,0.85596,13101
"MAPK8IP3",0.88917,14192,0.079154,3193
"MAPK9",0.11992,4648,0.29654,5092
"MAPKAP1",0.07037,3417,0.24712,4665
"MAPKAPK2",0.38087,8878,0.32508,5393
"MAPKAPK3",0.91862,14655,0.4075,6476
"MAPKAPK5",0.79526,12892,0.80027,11635
"MAPKBP1",0.0020031,365,0.79028,11442
"MAPRE1",0.99786,16518,0.0019298,1834
"MAPRE2",0.93035,14841,0.66893,9315
"MAPRE3",0.63722,11451,0.83054,12393
"MAPT",0.14856,5412,0.86836,13445
"MARC1",0.34632,8378,0.70188,9836
"MARC2",0.92036,14683,0.59336,8450
"MARCH1",0.018004,1421,0.97816,16960
"MARCH10",0.31589,7967,0.24828,4677
"MARCH11",0.48275,10340,0.57195,8248
"MARCH2",0.92424,14753,0.70712,9913
"MARCH3",0.76791,12565,0.50373,7719
"MARCH4",0.096907,4090,0.95981,16289
"MARCH5",0.4118,9291,0.10675,3470
"MARCH6",0.88164,14081,0.38105,6113
"MARCH7",0.445,9780,0.9371,15523
"MARCH8",0.035175,2365,0.9922,17541
"MARCH9",0.38344,8913,0.92286,15061
"MARCKS",0.91575,14611,0.81896,12064
"MARCKSL1",0.31412,7944,0.90402,14482
"MARCO",0.015354,1248,0.80554,11748
"MARK1",0.028101,1969,0.6501,9079
"MARK2",0.79873,12927,0.71586,10062
"MARK3",0.070172,3411,0.94148,15675
"MARK4",0.6921,11880,0.65342,9115
"MARS",1,17905,9.97e-08,65
"MARS2",1,17981,1.3418e-08,33
"MARVELD2",0.35019,8430,0.84509,12785
"MARVELD3",0.45014,9852,0.5526,8090
"MAS1",0.18549,6242,0.88481,13889
"MAS1L",0.36597,8678,0.98093,17055
"MASP1",0.0030546,482,0.93315,15387
"MASP2",0.51982,10681,0.50169,7700
